Overriding: dataset = zulu
Overriding: compile = False
Overriding: always_save_checkpoint = False
Overriding: max_iters = 45000
Overriding: n_layer = 3
tokens per iteration will be: 491,520
found vocab_size = 10000 (inside data/zulu/meta.pkl)
Initializing a new model from scratch
number of parameters: 28.92M
/home/anxtem001/LanguageModel/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 14, with 29,700,096 parameters
num non-decayed parameter tensors: 7, with 5,376 parameters
using fused AdamW: True
step 0: train loss 9.3597, val loss 9.3576
iter 250: loss 6.2515, time 1041.43ms, mfu 30.52%
iter 251: loss 6.3753, time 1042.25ms, mfu 30.52%
iter 252: loss 6.0958, time 1042.13ms, mfu 30.52%
iter 253: loss 6.3507, time 1042.27ms, mfu 30.52%
iter 254: loss 6.4087, time 1042.55ms, mfu 30.51%
iter 255: loss 6.2509, time 1042.45ms, mfu 30.51%
iter 256: loss 6.3541, time 1042.26ms, mfu 30.51%
iter 257: loss 6.2990, time 1042.35ms, mfu 30.51%
iter 258: loss 6.2643, time 1041.87ms, mfu 30.51%
iter 259: loss 6.2848, time 1042.72ms, mfu 30.51%
iter 260: loss 6.3238, time 1042.46ms, mfu 30.51%
iter 261: loss 6.3454, time 1042.70ms, mfu 30.51%
iter 262: loss 6.1829, time 1042.76ms, mfu 30.51%
iter 263: loss 6.3594, time 1042.20ms, mfu 30.51%
iter 264: loss 6.3327, time 1042.32ms, mfu 30.51%
iter 265: loss 6.3302, time 1041.77ms, mfu 30.51%
iter 266: loss 6.2782, time 1043.04ms, mfu 30.50%
iter 267: loss 6.0660, time 1043.95ms, mfu 30.50%
iter 268: loss 6.2661, time 1043.60ms, mfu 30.50%
iter 269: loss 6.3383, time 1043.77ms, mfu 30.49%
iter 270: loss 6.3859, time 1043.80ms, mfu 30.49%
iter 271: loss 6.3289, time 1043.77ms, mfu 30.49%
iter 272: loss 6.2629, time 1044.07ms, mfu 30.48%
iter 273: loss 5.9600, time 1044.85ms, mfu 30.48%
iter 274: loss 5.9115, time 1044.27ms, mfu 30.48%
iter 275: loss 6.2417, time 1043.65ms, mfu 30.47%
iter 276: loss 6.1418, time 1044.63ms, mfu 30.47%
iter 277: loss 6.1941, time 1044.54ms, mfu 30.47%
iter 278: loss 5.9462, time 1044.02ms, mfu 30.47%
iter 279: loss 6.2594, time 1043.37ms, mfu 30.47%
iter 280: loss 6.1589, time 1043.85ms, mfu 30.47%
iter 281: loss 6.1805, time 1044.19ms, mfu 30.46%
iter 282: loss 6.1911, time 1044.43ms, mfu 30.46%
iter 283: loss 6.0477, time 1044.59ms, mfu 30.46%
iter 284: loss 5.9880, time 1044.27ms, mfu 30.46%
iter 285: loss 6.2831, time 1044.65ms, mfu 30.46%
iter 286: loss 6.1767, time 1044.95ms, mfu 30.45%
iter 287: loss 6.2391, time 1044.72ms, mfu 30.45%
iter 288: loss 6.0727, time 1044.46ms, mfu 30.45%
iter 289: loss 6.1737, time 1044.34ms, mfu 30.45%
iter 290: loss 6.0808, time 1045.03ms, mfu 30.45%
iter 291: loss 6.1920, time 1044.77ms, mfu 30.45%
iter 292: loss 6.1228, time 1044.66ms, mfu 30.45%
iter 293: loss 6.2282, time 1044.74ms, mfu 30.44%
iter 294: loss 6.1950, time 1044.42ms, mfu 30.44%
iter 295: loss 6.1565, time 1043.25ms, mfu 30.45%
iter 296: loss 6.1014, time 1043.24ms, mfu 30.45%
iter 297: loss 5.8601, time 1043.79ms, mfu 30.45%
iter 298: loss 6.1870, time 1043.92ms, mfu 30.45%
iter 299: loss 6.0741, time 1044.38ms, mfu 30.45%
iter 300: loss 6.1299, time 1043.18ms, mfu 30.45%
iter 301: loss 5.9679, time 1043.15ms, mfu 30.46%
iter 302: loss 5.8318, time 1043.41ms, mfu 30.46%
iter 303: loss 6.0039, time 1043.18ms, mfu 30.46%
iter 304: loss 6.1662, time 1044.21ms, mfu 30.46%
iter 305: loss 5.9298, time 1043.51ms, mfu 30.46%
iter 306: loss 5.9192, time 1043.36ms, mfu 30.46%
iter 307: loss 6.0581, time 1043.20ms, mfu 30.46%
iter 308: loss 5.8698, time 1043.57ms, mfu 30.46%
iter 309: loss 5.9997, time 1043.59ms, mfu 30.46%
iter 310: loss 5.9317, time 1043.08ms, mfu 30.47%
iter 311: loss 6.0579, time 1043.64ms, mfu 30.47%
iter 312: loss 5.9556, time 1042.66ms, mfu 30.47%
iter 313: loss 6.0354, time 1043.28ms, mfu 30.47%
iter 314: loss 5.9909, time 1043.63ms, mfu 30.47%
iter 315: loss 5.9962, time 1043.67ms, mfu 30.47%
iter 316: loss 6.0847, time 1043.42ms, mfu 30.47%
iter 317: loss 6.0588, time 1043.12ms, mfu 30.47%
iter 318: loss 6.0107, time 1043.51ms, mfu 30.47%
iter 319: loss 5.9598, time 1043.32ms, mfu 30.47%
iter 320: loss 5.8313, time 1043.96ms, mfu 30.47%
iter 321: loss 6.0052, time 1043.44ms, mfu 30.47%
iter 322: loss 5.8291, time 1043.51ms, mfu 30.47%
iter 323: loss 6.0268, time 1044.59ms, mfu 30.47%
iter 324: loss 6.0501, time 1044.78ms, mfu 30.46%
iter 325: loss 5.9842, time 1045.59ms, mfu 30.46%
iter 326: loss 5.9487, time 1045.05ms, mfu 30.45%
iter 327: loss 5.9283, time 1045.04ms, mfu 30.45%
iter 328: loss 5.6663, time 1045.44ms, mfu 30.45%
iter 329: loss 5.8833, time 1044.61ms, mfu 30.45%
iter 330: loss 6.0466, time 1044.17ms, mfu 30.45%
iter 331: loss 5.5199, time 1044.66ms, mfu 30.45%
iter 332: loss 5.8597, time 1045.80ms, mfu 30.44%
iter 333: loss 5.6555, time 1045.33ms, mfu 30.44%
iter 334: loss 5.8757, time 1044.86ms, mfu 30.44%
iter 335: loss 5.9005, time 1045.22ms, mfu 30.44%
iter 336: loss 6.0251, time 1045.14ms, mfu 30.43%
iter 337: loss 5.9099, time 1045.33ms, mfu 30.43%
iter 338: loss 5.8325, time 1044.70ms, mfu 30.43%
iter 339: loss 5.8246, time 1045.19ms, mfu 30.43%
iter 340: loss 5.8546, time 1044.96ms, mfu 30.43%
iter 341: loss 5.7945, time 1045.25ms, mfu 30.43%
iter 342: loss 5.6201, time 1045.89ms, mfu 30.43%
